,,,SteinerGauss,SteinerGauss,RowCol,RowCol,PermRowCol without RT,PermRowCol without RT,PermRowCol with A*,PermRowCol with A*,PermRowCol with RT,PermRowCol with RT,PermRowCol with RT and A*,PermRowCol with RT and A*
,,,count,overhead (%),count,overhead (%),count,overhead (%),count,overhead (%),count,overhead (%),count,overhead (%)
Original,Architecture,#Qubits,,,,,,,,,,,,
2,5q-fully_connected,5,2.16,8.0,2.1,5.0,2.15,7.5,1.93,-3.5,1.93,-3.5,1.93,-3.5
4,5q-fully_connected,5,4.13,3.25,4.17,4.25,3.67,-8.25,3.5,-12.5,3.35,-16.25,3.23,-19.25
5,5q-fully_connected,5,5.02,0.4,5.22,4.4,4.44,-11.2,4.23,-15.4,3.9,-22.0,3.89,-22.2
8,5q-fully_connected,5,8.0,0.0,7.97,-0.375,6.57,-17.875,6.08,-24.0,5.86,-26.75,5.6,-30.0
10,5q-fully_connected,5,8.88,-11.2,9.23,-7.699999999999999,7.01,-29.9,6.59,-34.1,6.34,-36.6,6.06,-39.4
15,5q-fully_connected,5,9.68,-35.46666666666667,10.17,-32.2,7.37,-50.86666666666667,6.93,-53.8,6.47,-56.86666666666667,6.32,-57.86666666666667
20,5q-fully_connected,5,11.78,-41.1,11.46,-42.7,8.13,-59.35,7.64,-61.8,7.31,-63.45,7.06,-64.7
2,5q-line,5,9.03,351.5,9.3,365.0,8.11,305.5,7.02,251.0,2.71,35.5,2.98,49.0
4,5q-line,5,12.21,205.25,12.64,216.0,10.58,164.5,9.01,125.25,4.94,23.5,5.37,34.25
5,5q-line,5,13.06,161.2,13.69,173.8,11.28,125.6,9.27,85.4,5.71,14.199999999999998,5.8,16.0
8,5q-line,5,16.29,103.625,16.78,109.75,13.84,73.0,11.35,41.875,8.04,0.5,8.35,4.375
10,5q-line,5,17.89,78.9,17.74,77.4,14.32,43.2,11.81,18.1,8.94,-10.6,9.26,-7.399999999999999
15,5q-line,5,18.28,21.866666666666664,18.57,23.8,14.54,-3.066666666666668,12.04,-19.733333333333334,8.98,-40.13333333333333,9.49,-36.733333333333334
20,5q-line,5,19.61,-1.9499999999999997,20.16,0.800000000000001,14.54,-27.3,12.19,-39.05,9.81,-50.95,9.92,-50.4
2,ibm_qx2,5,4.66,133.0,4.75,137.5,4.25,112.5,4.02,101.0,2.12,6.0,2.66,33.0
4,ibm_qx2,5,7.82,95.5,7.95,98.75,6.38,59.5,5.67,41.75,3.75,-6.25,4.14,3.5
5,ibm_qx2,5,8.48,69.6,8.84,76.8,6.7,34.0,5.97,19.4,4.41,-11.8,4.62,-7.6
8,ibm_qx2,5,11.74,46.75,12.03,50.375,9.36,17.0,8.13,1.625,6.49,-18.875,6.79,-15.125
10,ibm_qx2,5,12.21,22.1,12.89,28.9,9.92,-0.7999999999999994,8.55,-14.5,6.96,-30.4,7.24,-27.6
15,ibm_qx2,5,13.55,-9.666666666666668,13.53,-9.8,10.07,-32.86666666666667,8.61,-42.6,7.36,-50.93333333333334,7.41,-50.6
20,ibm_qx2,5,14.61,-26.95,14.64,-26.8,11.16,-44.2,9.36,-53.2,8.07,-59.65,8.23,-58.85
2,ibm_qx4,5,4.66,133.0,4.75,137.5,4.25,112.5,4.02,101.0,2.12,6.0,2.66,33.0
4,ibm_qx4,5,7.82,95.5,7.95,98.75,6.38,59.5,5.67,41.75,3.75,-6.25,4.14,3.5
5,ibm_qx4,5,8.48,69.6,8.84,76.8,6.7,34.0,5.97,19.4,4.41,-11.8,4.62,-7.6
8,ibm_qx4,5,11.74,46.75,12.03,50.375,9.36,17.0,8.13,1.625,6.49,-18.875,6.79,-15.125
10,ibm_qx4,5,12.21,22.1,12.89,28.9,9.92,-0.7999999999999994,8.55,-14.5,6.96,-30.4,7.24,-27.6
15,ibm_qx4,5,13.55,-9.666666666666668,13.53,-9.8,10.07,-32.86666666666667,8.61,-42.6,7.36,-50.93333333333334,7.41,-50.6
20,ibm_qx4,5,14.61,-26.95,14.64,-26.8,11.16,-44.2,9.36,-53.2,8.07,-59.65,8.23,-58.85
