,,,SteinerGauss,SteinerGauss,RowCol,RowCol,PermRowCol,PermRowCol
,,,count,overhead (%),count,overhead (%),count,overhead (%)
Original,Architecture,#Qubits,,,,,,
3,9q-square,9,12.25,308.3333333333333,12.32,310.6666666666667,11.08,269.3333333333333
5,9q-square,9,18.67,273.4,18.85,277.0,16.51,230.2
10,9q-square,9,33.35,233.5,32.28,222.8,27.19,171.9
20,9q-square,9,48.97,144.85,46.82,134.1,39.74,98.7
30,9q-square,9,55.02,83.4,53.17,77.23333333333333,47.53,58.43333333333333
4,16q-square,16,29.12,628.0,28.56,614.0,31.98,699.5
8,16q-square,16,55.7,596.25,54.64,583.0,55.66,595.75
16,16q-square,16,95.63,497.6875,92.68,479.25,86.55,440.9375
32,16q-square,16,151.98,374.9375,139.61,336.28125,137.3,329.0625
64,16q-square,16,187.58,193.09375,179.73,180.828125,184.55,188.359375
128,16q-square,16,200.15,56.3671875,187.81,46.7265625,200.19,56.3984375
256,16q-square,16,200.53,-21.66796875,189.05,-26.15234375,209.02,-18.3515625
4,rigetti_16q_aspen,16,55.94,1298.5,50.48,1162.0,52.17,1204.25
8,rigetti_16q_aspen,16,103.21,1190.125,91.66,1045.75,89.4,1017.5
16,rigetti_16q_aspen,16,157.25,882.8125,141.8,786.25,126.8,692.5
32,rigetti_16q_aspen,16,218.5,582.8125,199.98,524.9375,173.74,442.9375
64,rigetti_16q_aspen,16,260.43,306.921875,241.37,277.140625,227.98,256.21875
128,rigetti_16q_aspen,16,271.63,112.2109375,252.63,97.3671875,249.5,94.921875
256,rigetti_16q_aspen,16,273.27,6.74609375,255.61,-0.15234375,250.39,-2.19140625
4,ibm_qx5,16,36.66,816.5,36.42,810.5,38.72,868.0
8,ibm_qx5,16,73.48,818.5,72.4,805.0,70.46,780.75
16,ibm_qx5,16,117.21,632.5625,114.28,614.25,103.58,547.375
32,ibm_qx5,16,185.73,480.40625,176.19,450.59375,158.39,394.96875
64,ibm_qx5,16,230.8,260.625,222.74,248.03125,206.96,223.375
128,ibm_qx5,16,245.22,91.578125,236.76,84.96875,230.9,80.390625
256,ibm_qx5,16,243.79,-4.76953125,237.35,-7.28515625,228.81,-10.62109375
4,ibm_q20_tokyo,20,23.99,499.75,23.53,488.25,29.39,634.75
8,ibm_q20_tokyo,20,52.26,553.25,49.91,523.875,51.59,544.875
16,ibm_q20_tokyo,20,100.28,526.75,97.06,506.625,97.39,508.6875
32,ibm_q20_tokyo,20,179.47,460.84375,165.38,416.8125,153.15,378.59375
64,ibm_q20_tokyo,20,248.46,288.21875,234.66,266.65625,237.72,271.4375
128,ibm_q20_tokyo,20,281.75,120.1171875,268.0,109.375,291.4,127.65625
256,ibm_q20_tokyo,20,288.09,12.53515625,274.1,7.0703125,306.06,19.5546875
